id,citation_or_description,url,retrieved,sha256,proof_role,access_note
notebook-21,"Kourovka Notebook, 21st issue (2026)",https://kourovkanotebookorg.wordpress.com/wp-content/uploads/2026/07/21tkt.pdf,2026-08-11,301b0cdcc53abc88b57cc0732cad73bf8fbe1c9ba0de5a0a794070398e3395fe,"Problem statement and published baseline","Public PDF; not redistributed here"
kovacs-sim-1991,"Kovacs--Sim, Generating finite soluble groups",https://archives.maths.anu.edu.au/people/Kovacs/K079.pdf,2026-08-11,29fb864d3b2178ea3109f77dcedb1b88a123b42eed7d49967469845bcfe9b121,"Historical soluble d+1 theorem","Public author archive; not redistributed here"
lucchini-1990,"Lucchini, Some questions on the number of generators of a finite group",https://www.numdam.org/item/RSMUP_1990__83__201_0.pdf,2026-08-11,532da47a6dcd5d30ae3866c1726172e99053abb803031c6a194e51b3430fc2d3,"Explicit statement of Gruenberg's soluble-normal-subgroup result","Public Numdam PDF; not redistributed here"
lucchini-1992,"Lucchini, Generating the augmentation ideal",https://www.numdam.org/item/RSMUP_1992__88__145_0.pdf,2026-08-11,8a74f0c8e55d1a85925999a6bde0a30877caefa762ce932d41ffb4c8b2a6dd29,"Augmentation-ideal d+1 bound","Public Numdam PDF; not redistributed here"
dalla-volta-lucchini-1998,"Dalla Volta--Lucchini, Finite groups that need more generators than any proper quotient",https://www.cambridge.org/core/services/aop-cambridge-core/content/view/C76CCA5C76F8D6091B76DEE7C2AAA0D6/S1446788700001312a.pdf/finite_groups_that_need_more_generators_than_any_proper_quotient.pdf,2026-08-11,ed40a2a219fb111815202868e01c59e31dcb75586bfa60bf16f165fdfea1db51,"Critical crown reduction and exact multiplicity formula","Public publisher PDF; not redistributed here"
lucchini-menegazzo-1997,"Lucchini--Menegazzo, Generators for finite groups with a unique minimal normal subgroup",https://www.numdam.org/item/RSMUP_1997__98__173_0.pdf,2026-08-11,b44ba2074c02b97d03f5a92a022ff62d33ccf1661bcb70e2ee97e621f99cf4b3,"Background audit for monolithic generation","Public Numdam PDF; not directly invoked in the final proof"
lucchini-2000,"Lucchini, On groups with d-generator subgroups of coprime index",https://doi.org/10.1080/00927870008826932,2026-08-11,682019fbd6230c80bc66485a7bf9dc0bfce5104c79279e7e3fa4bf22c39ef065,"Historical arbitrary d+2 theorem","Hash is the publisher's freely available first-page preview; full article was not openly accessible and its proof is not invoked"
detomi-lucchini-2013,"Detomi--Lucchini, Probabilistic generation of finite groups with a unique minimal normal subgroup",https://www.research.unipd.it/handle/11577/2528913,2026-08-11,,"Uniform conditional probability bound","Official repository record and publisher abstract state the exact P>=1/2 theorem; full publisher PDF is restricted"
detomi-2013-slides,"Detomi, St Andrews 2013 conference slides",https://mathshistory.st-andrews.ac.uk/Groups/2013/slides/detomi.pdf,2026-08-11,3423d8376dedcd681416498e5864c0d2e5b5a96e574df5a4dd6ee2403efcd353,"Corroborates a stronger nonabelian-socle probability bound","Public conference PDF; not redistributed here"
guralnick-1986,"Guralnick, Generation of simple groups",https://doi.org/10.1016/0021-8693(86)90194-8,2026-08-11,,"Sylow 2-subgroup plus involution generation theorem","Publisher record; theorem form corroborated by Burness--Guralnick 2024"
burness-guralnick-2024,"Burness--Guralnick, On the generation of simple groups by Sylow subgroups",https://arxiv.org/abs/2204.04311,2026-08-11,c32f452631390f8bb757ab3c1ef41ffb937a16e8c8801b43a99243e3efe2de7d,"Explicitly records Guralnick's Sylow 2-subgroup plus involution theorem","Public arXiv PDF; published in Contemporary Mathematics 800 (2024), 81--100"
